Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
139;11935;1175;21/04/2020 13:06;PT-BR;22;Female;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio de Janeiro;Single;NA;Yes;Life carries on with minor changes;5;1;NA
140;11957;804;21/04/2020 11:59;PT-BR;34;Female;PhD/Doctorate;College degree;Part time employed;Brazil;no;RJ;Married/cohabiting;0;No;Life carries on with minor changes;1;0;NA
141;12213;704;20/04/2020 20:21;PT-BR;24;Male;College degree, bachelor, master;PhD/Doctorate;Self-employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Isolated;2;0;NA
142;12279;78624;22/04/2020 12:04;PT-BR;26;Male;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
143;12294;559;21/04/2020 13:32;PT-BR;21;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;rio de janeiro;Single;0;Yes;Isolated;2;0;NA
144;12302;898;20/04/2020 13:22;PT-BR;22;Male;College degree, bachelor, master;Up to 12 years of school;Student;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;1;0;NA
145;12674;2242;19/04/2020 17:33;PT-BR;32;Female;PhD/Doctorate;College degree;Self-employed;Brazil;no;Santa Catarina;Single;0;Yes;Life carries on with minor changes;2;0;NA
146;14172;910;17/04/2020 19:00;PT-BR;24;Female;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;São Paulo;Single;0;Yes;Life carries on with minor changes;2;0;NA
147;14663;1795;17/04/2020 12:34;PT-BR;22;Male;Some College, short continuing education or equivalent;College degree;Student;Brazil;no;Rio De Janeiro;Single;0;Yes;Isolated;2;0;NA
148;14783;10238;18/04/2020 13:59;PT-BR;21;Female;Some College, short continuing education or equivalent;College degree;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;4;1;NA
149;15089;13213;17/04/2020 12:20;PT-BR;44;Female;College degree, bachelor, master;PhD/Doctorate;Student;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;2;1;NA
